"identifier";"province";"district";"chiefdom";"community";"water point name";"implementing partner";"facility";"geo latitude";"geo longitude";"geo elevation";"water_supply_type";"pH high";"pH low";"ammonia";"fluoride";"iron";"nitrate";"phosphate";"potassium";"sulfate";"nitrite";"chloride";"turbidity";"electrical conductivity";"temperature";"barcode";"ecoli risk indication";"MPN_100ml";"conf_inter_95";"risk_assessment"
"qtcx-p0p5-fgqq";"Northern";"Koinadugu";"Diang";"LENKEKORO";"CHP WELL";"3";"PHU";"9.465893333333334";"-11.676306666666669";"353.5";"Rehabilitated hand dug well with submersible pump";6,5;NA;0,08;1,88;0,07;6,5;0,05;1,9;71;0,02;NA;0;90;27,8;"06062";"Low Risk / Safe";"0";"2.87";2
"t3sd-rpwm-g14c";"Northern";"Koinadugu";"Diang";"KAMAYINBO";"GRAVITY SOURCE";"7";"Community water point";"9.448108333333332";"-11.698688333333333";"326.1";"Tap stands from gravity fed water scheme";6,67;NA;0,05;0,05;0,03;1;0,05;0,7;36;0,01;NA;8;0;25,6;"06061";"High Risk / Possibly Unsafe";"13.6";"83.06";0
"y951-fnh9-4jvn";"Southern";"Bonthe";"Kpanda Kemo";"LAWANA";"UBC";NA;"School";"7.645163333333333";"-12.014741666666664";"69.3";"Rehabilitated borehole - handpump";7,05;NA;0,04;0,13;0,04;1;0,34;0,7;100;0,01;11,8;12;31,3;296;"03507";"Low Risk / Safe";"0";"2.87";7
"naw4-w0gv-xs7y";"North Western";"Kambia";"Magbema";"GBARRAY NONKOH";"DIBIA ROAD";NA;"Community water point";"9.077108611634324";"-12.862240313202019";"91.95173757239796";"New hand dug well - handpump";6,5;NA;0,05;0,05;0,12;7,5;0,05;0,9;10;0,01;8,3;0;195;29,2;"03452";"Intermediate Risk / Probably Safe";"1.5";"7.81";3
"m80a-6ga4-72ss";"Southern";"Pujehun";"Panga krim";"VAAMA";"VAAMA  PHU";NA;"PHU";"7.2787999999999995";"-11.795876666666667";"7.4";"New borehole with submersible pump";7,21;NA;0,1;0,38;0,06;2,1;0,11;3,2;5;0,01;3,7;22;121;31,8;"03802";"Low Risk / Safe";"0";"2.87";3
"c9yk-q4cu-7dvm";"Western";"Western Area Rur";"Koya Rural";"FABAINA";"FABAINA WATER POINT";"1";"Community water point";"8.29592148311951";"-12.944688933997934";"62.61459937940025";"New borehole - handpump";6,5;NA;0,17;0,91;0,03;1;0,1;16;51;0,01;0,5;0;189;30;"02049";"Very High Risk / Unsafe";">100";"9435.1";0
"36sk-upjh-w1ve";"Southern";"Bonthe";"Kpanda Kemo";"MOTUO";"CHC";NA;"PHU";"7.613913333333333";"-12.047348333333332";"33.1";"New hand dug well - handpump";6,5;NA;0,02;0,05;0,02;3,8;0,05;0,9;46;0,01;14,5;0;32,6;66;"03508";"High Risk / Possibly Unsafe";"13.6";"83.06";5
"btme-q1yg-e8kc";"Western";"Western Area Rur";"Koya Rural";"GBOILA";"GBOILA WATER POINT";"1";"Community water point";"8.28793410942916";"-12.94905991075485";"63.04046567933072";"New borehole - handpump";6,5;NA;0,26;1,33;1;1;0,25;1,6;19;0,01;0,5;24;688;30,8;"02054";"Very High Risk / Unsafe";">100";"9435.1";0
"uqc6-ccgs-cmk5";"Eastern";"Kenema";"Nongowa";"BORBORBU";"BORBORBU COMMUNITY WATER POINT";NA;"Community water point";"7.9655700000000005";"-11.035541666666665";"173.2";"Rehabilitated hand dug well - handpump";6,5;NA;0,02;0,05;0,02;3,7;0,12;16;18;0,01;NA;0;61;28,9;"03945";"Intermediate Risk / Probably Safe";"1.1";"5.16";2
"4yh1-y3ph-4t2k";"Western";"Western Area Rur";"Koya Rural";"MASORIE";"MASORIE PHU";"1";"PHU";"8.31441430674366";"-12.941870039738667";"82.28256402549802";"New borehole with submersible pump";6,5;NA;0,09;2;0,14;1;0,05;0,7;37;0,01;0,5;0;22;30,6;"02052";"Very High Risk / Unsafe";">100";"9435.1";0
