"region","functionality_main","water_months","seasonality","dryness","dryness_duration","puits_safety","latitude","longitude","photo"
"Gao","fonctionnel",6,"Yes","non",NA,"Non",15.66816142,0.50194121,"https://akvoflow-87.s3.amazonaws.com/images/26ce3f7b-f835-4d80-abed-4b7a27665be6.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.1918767,-0.03154827,"https://akvoflow-87.s3.amazonaws.com/images/7b6c67c4-9ffd-4cf1-b336-6bcf70ff72f5.jpg"
"Gao","sec",4,"Yes","oui","1 mois","Non",16.18999184,-0.03646864,"https://akvoflow-87.s3.amazonaws.com/images/01b899d5-90e3-44be-9226-85e0ce67da78.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.19085344,-0.03591909,"https://akvoflow-87.s3.amazonaws.com/images/3faf5a67-3026-4b5b-9151-fd4d05ac2f26.jpg"
"Gao","fonctionnel",12,"No","non",NA,"Non",15.66272101,0.51292645,"https://akvoflow-87.s3.amazonaws.com/images/850d2af4-95d3-4d46-b8bb-29f5b9d8e171.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.66541088,0.50973311,"https://akvoflow-87.s3.amazonaws.com/images/1cd0e045-2ca0-48f0-9b22-921726a7cec5.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29359751,-0.04422354,"https://akvoflow-87.s3.amazonaws.com/images/bc02c75d-641b-4cd2-921b-5fcf68b1512a.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29386826,-0.04259102,"https://akvoflow-87.s3.amazonaws.com/images/0ac125b3-445f-4f72-b29d-b6da0803ddd6.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29492605,-0.0406015,"https://akvoflow-87.s3.amazonaws.com/images/6eb05154-4c90-4549-8423-a6b527baa20d.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29574224,-0.03890932,"https://akvoflow-87.s3.amazonaws.com/images/db5e3b4b-95b1-47e7-8297-b8ae82a37c31.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29426495,-0.03804464,"https://akvoflow-87.s3.amazonaws.com/images/3a7b0de3-5cd1-4a6b-b5ff-81c8bc62a2a6.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29416743,-0.03720493,"https://akvoflow-87.s3.amazonaws.com/images/84b06af1-c547-4671-98b0-f408a75840cb.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29786477,-0.03568226,"https://akvoflow-87.s3.amazonaws.com/images/e7a43d95-5efe-454e-94a8-720b89987de9.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.2962061,-0.03517271,"https://akvoflow-87.s3.amazonaws.com/images/1b68fd4f-14fe-4ffd-88a5-fe34d3624444.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.90246409,2.40506569,"https://akvoflow-87.s3.amazonaws.com/images/bd1e74b9-a0fd-4f89-bd8b-14a0b504dc42.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.22582713,0.29430219,"https://akvoflow-87.s3.amazonaws.com/images/bc0f6a89-340a-49f4-9623-a6d35750f8e9.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29503127,-0.03498786,"https://akvoflow-87.s3.amazonaws.com/images/e2d1f709-43a0-4942-8f9d-470ab03e18a8.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29762414,-0.03673827,"https://akvoflow-87.s3.amazonaws.com/images/52fea18d-5e91-4b48-a777-9120f5ada317.jpg"
"Gao","fonctionnel",11,"Yes","non",NA,"Non",15.22539609,0.2930712,"https://akvoflow-87.s3.amazonaws.com/images/60e88e5f-3d50-41cb-9115-3dcb7d59d6df.jpg"
"Gao","non utilisé",NA,"No",NA,NA,"Non",15.22474238,0.29254148,"https://akvoflow-87.s3.amazonaws.com/images/19478004-c9b5-4218-9937-15df4e5d6414.jpg"
"Gao","sec",4,"Yes","oui","1 mois","Non",16.29913758,-0.03092459,"https://akvoflow-87.s3.amazonaws.com/images/a1b1c1b0-bec0-4624-b472-4f1ebbdc23d5.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29912633,-0.03195765,"https://akvoflow-87.s3.amazonaws.com/images/c397ff7a-00bd-4e9f-a38c-12af8f1a0787.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29864295,-0.03298026,"https://akvoflow-87.s3.amazonaws.com/images/e160bda6-34c0-42e6-b3cf-1dc219bec64e.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29962611,-0.03300245,"https://akvoflow-87.s3.amazonaws.com/images/43695d90-853f-4ce0-8bf8-ddc374ffb305.jpg"
"Gao","fonctionnel",6,"Yes","non",NA,"Non",16.30286651,-0.03362143,"https://akvoflow-87.s3.amazonaws.com/images/1aa2d079-1a3a-4774-af19-5b39258341a9.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.22307757,0.29549547,"https://akvoflow-87.s3.amazonaws.com/images/45e43d3b-7279-4608-8ab5-8358991bdb74.jpg"
"Gao","fonctionnel",6,"Yes","non",NA,"Non",16.29275221,-0.04124722,"https://akvoflow-87.s3.amazonaws.com/images/5f3aec38-71b6-4351-93eb-eb2eecadb358.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.22365129,0.29577982,"https://akvoflow-87.s3.amazonaws.com/images/cc6024fd-2c69-41c9-b5f4-2ec59dcdf2a7.jpg"
"Gao","fonctionnel",6,"Yes","non",NA,"Non",16.30022811,-0.03559283,"https://akvoflow-87.s3.amazonaws.com/images/35e8916a-d2a2-40ee-800d-c8b548132cbb.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29948477,-0.03478052,"https://akvoflow-87.s3.amazonaws.com/images/118abeb9-e0fc-4b0c-9776-77643956c6a7.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.223163,0.29520669,"https://akvoflow-87.s3.amazonaws.com/images/d52ab5e0-56fd-4fe7-bbed-b9c02cbc940d.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",15.22305393,0.29448231,"https://akvoflow-87.s3.amazonaws.com/images/18372cdc-4bad-457e-a286-9b3899094126.jpg"
"Gao","fonctionnel",12,"No",NA,NA,"Non",16.29131592,-0.04028685,"https://akvoflow-87.s3.amazonaws.com/images/857ce34b-a18a-49bb-b4bf-10f3db04d00b.jpg"
